role,description
שרת הביטחון,"את יודעת שהיחסים האזוריים יכולים להגיע למצב של מלחמה, וחשוב לך להכין את המדינה לכל מקרה שלא יבוא. אי אפשר לדעת איך משבר האקלים ישפיע על המצב, ואת לא רוצה שזה יביא למוות של מיליוני אזרחים"
שר החינוך,ברור לך שבלי חינוך אין עתיד. הדרך היחידה להתמודד עם אתגרים גדולים ולא ידועים היא אזרחיות משכילות שיודעות לפתור בעיות מורכבות
שרת החקלאות,"אי אפשר לדעת איך משבר האקלים ישפיע על היכולת להאכיל את כל האזרחים, אבל כנראה שזה יקשה עלינו מאוד. היכולת שלנו לספק מזון איכותי בריא וטעים לכולם תלויה בחקלאות"
שר האושר,חשוב לך האושר של האנשים. המשרד שלך עובד לפי אושר לאומי גולמי
שר השיוויון חברתי,"משבר האקלים יאתגר את החוסן החברתי. חוסן חברתי חזק יאפשר לנו להתמודד עם אתגרים ביחד, ולדאוג לכל האזרחים. חוסן חברתי חלש אומר שכל אחד לעצמו, העשירים ישרדו ועניים כנראה לא."
שר הבריאות,"כשמשבר האקלים יכה יהיו נפגעים, בזה את/ה בטוח/ה. לכן, חשוב מאוד שמערכת הבריאות תהיה ערוכה"
שרת התקשורת,"לא ברור איך משבר האקלים ישפיע על המדינה, אבל בטוח שאם לא תהיה דרך לתקשר עם האזרחים, בטוח יהיו יותר נפגעים."
שר המים,מים הם מקור החיים. תפקידך הוא לדאוג לכל האזרחים יהיו מים נקיים לשתייה.
שר האנרגיה,ברור לך שחשמל טוב יאפשר התמודדות טובה עם המשבר.
שר החוץ,אתה יודע שהמשבר פוגע גם במדינות השכנות. יחסים האזוריים גרועים יובילו אותנו למלחמה ויחסים טובים יאפשרו לנו מסחר ואולי אפילו לקבל עזרה.
שר התחבורה,"תחבורה טובה בזמן המשבר תאפשר לאספקה, חילוץ והצלה להגיע גם למקומות נידחים."
שר התיירות,"תיירות היא מקור הכנסה חשוב למדינה, את/ה צריך/ה לדאוג שאנשים ימשיכו לרצות לבקר"
שר לביטוח לאומי,הביטוח הלאומי הוא הכלי הכי טוב של המדינה לתמוך באזרחים שנפגעו מהמשבר.
שר להגנת הסביבה,"כמו שהבנת כבר, הקודם בתפקיד שלך נכשל. חושב/ת שאת/ה יכול/ה אחרת?"
שר התעשייה,תעשייה זה מה שמקדם את המדינה. זה חשוב לך גם במחיר של פגיעה בסביבה
